ID,eventName,signYear,endYearEstimated,signWithCountry,type,category
190,defense cooperation agreement,1996,2010,Benin,sector,COMMISSION
18,defense cooperation agreement,1996,2010,United States,sector,COMMISSION
190,defense cooperation agreement,2006,2010,Gabon,sector,TREX
62,defense cooperation agreement,2006,2010,United States,sector,TREX
190,defense cooperation agreement,2004,2010,Rwanda,sector,TREX
148,defense cooperation agreement,2004,2010,United States,sector,TREX
190,defense cooperation agreement,1992,1998,Zambia,sector,TREX
197,defense cooperation agreement,1992,1998,United States,sector,TREX
190,defense cooperation agreement,2001,2010,South Africa,sector,RESEARCH
164,defense cooperation agreement,2001,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1982,1988,Morocco,sector,COMMISSION
120,defense cooperation agreement,1982,1988,United States,sector,COMMISSION
190,defense cooperation agreement,2010,2010,Algeria,general,DCA
2,defense cooperation agreement,2010,2010,United States,general,DCA
190,defense cooperation agreement,1980,2010,Turkey,general,DIC
183,defense cooperation agreement,1980,2010,United States,general,DIC
190,defense cooperation agreement,1980,2010,Turkey,general,DCA
183,defense cooperation agreement,1980,2010,United States,general,DCA
190,defense cooperation agreement,1981,1987,Turkey,sector,COMMISSION
183,defense cooperation agreement,1981,1987,United States,sector,COMMISSION
190,defense cooperation agreement,1982,1988,Turkey,general,DCA
183,defense cooperation agreement,1982,1988,United States,general,DCA
190,defense cooperation agreement,1988,2010,Egypt,general,DIC
53,defense cooperation agreement,1988,2010,United States,general,DIC
190,defense cooperation agreement,1998,2010,Syria,sector,RESEARCH
173,defense cooperation agreement,1998,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1987,2010,Israel,general,DIC
84,defense cooperation agreement,1987,2010,United States,general,DIC
190,defense cooperation agreement,1988,2010,Israel,sector,COMMISSION
84,defense cooperation agreement,1988,2010,United States,sector,COMMISSION
190,defense cooperation agreement,1989,1994,Israel,sector,RESEARCH
84,defense cooperation agreement,1989,1994,United States,sector,RESEARCH
190,defense cooperation agreement,1996,2010,Israel,sector,RESEARCH
84,defense cooperation agreement,1996,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1998,2004,Israel,general,DCA
84,defense cooperation agreement,1998,2004,United States,general,DCA
190,defense cooperation agreement,1982,1988,Saudi Arabia,sector,COMMISSION
154,defense cooperation agreement,1982,1988,United States,sector,COMMISSION
190,defense cooperation agreement,1999,2005,Saudi Arabia,sector,TREX
154,defense cooperation agreement,1999,2005,United States,sector,TREX
190,defense cooperation agreement,2009,2010,Yemen,sector,TREX
196,defense cooperation agreement,2009,2010,United States,sector,TREX
190,defense cooperation agreement,1991,2001,Kuwait,general,DCA
93,defense cooperation agreement,1991,2001,United States,general,DCA
190,defense cooperation agreement,1991,1997,Bahrain,general,DCA
12,defense cooperation agreement,1991,1997,United States,general,DCA
190,defense cooperation agreement,1992,1998,Qatar,general,DCA
144,defense cooperation agreement,1992,1998,United States,general,DCA
190,defense cooperation agreement,1994,2000,United Arab Emirates,general,DCA
188,defense cooperation agreement,1994,2000,United States,general,DCA
190,defense cooperation agreement,1998,2004,Uzbekistan,general,DCA
192,defense cooperation agreement,1998,2004,United States,general,DCA
190,defense cooperation agreement,2000,2006,Uzbekistan,general,DCA
192,defense cooperation agreement,2000,2006,United States,general,DCA
190,defense cooperation agreement,2001,2010,Uzbekistan,general,DCA
192,defense cooperation agreement,2001,2010,United States,general,DCA
190,defense cooperation agreement,2009,2010,Uzbekistan,sector,TREX
192,defense cooperation agreement,2009,2010,United States,sector,TREX
190,defense cooperation agreement,1996,2002,Kazakhstan,sector,COMMISSION
89,defense cooperation agreement,1996,2002,United States,sector,COMMISSION
190,defense cooperation agreement,1997,2003,Kazakhstan,general,DCA
89,defense cooperation agreement,1997,2003,United States,general,DCA
190,defense cooperation agreement,2002,2008,Kazakhstan,sector,TREX
89,defense cooperation agreement,2002,2008,United States,sector,TREX
190,defense cooperation agreement,1996,2002,Mongolia,sector,TREX
118,defense cooperation agreement,1996,2002,United States,sector,TREX
190,defense cooperation agreement,1988,2010,South Korea,general,DIC
145,defense cooperation agreement,1988,2010,United States,general,DIC
190,defense cooperation agreement,1991,2010,South Korea,sector,COMMISSION
145,defense cooperation agreement,1991,2010,United States,sector,COMMISSION
190,defense cooperation agreement,1996,2010,South Korea,sector,RESEARCH
145,defense cooperation agreement,1996,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2009,2010,South Korea,sector,RESEARCH
145,defense cooperation agreement,2009,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1983,2010,Japan,general,DIC
87,defense cooperation agreement,1983,2010,United States,general,DIC
190,defense cooperation agreement,1990,1996,Japan,sector,RESEARCH
87,defense cooperation agreement,1990,1996,United States,sector,RESEARCH
190,defense cooperation agreement,1991,1997,India,sector,TREX
79,defense cooperation agreement,1991,1997,United States,sector,TREX
190,defense cooperation agreement,1995,2001,India,general,DIC
79,defense cooperation agreement,1995,2001,United States,general,DIC
190,defense cooperation agreement,2004,2010,India,sector,RESEARCH
79,defense cooperation agreement,2004,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2005,2010,India,general,DIC
79,defense cooperation agreement,2005,2010,United States,general,DIC
190,defense cooperation agreement,2006,2010,India,sector,RESEARCH
79,defense cooperation agreement,2006,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1995,2001,Pakistan,sector,COMMISSION
134,defense cooperation agreement,1995,2001,United States,sector,COMMISSION
190,defense cooperation agreement,1989,2010,Bangladesh,sector,TREX
13,defense cooperation agreement,1989,2010,United States,sector,TREX
190,defense cooperation agreement,1995,2010,Singapore,sector,RESEARCH
159,defense cooperation agreement,1995,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1998,2010,Singapore,sector,RESEARCH
159,defense cooperation agreement,1998,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2003,2010,Singapore,sector,RESEARCH
159,defense cooperation agreement,2003,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2005,2010,Singapore,general,DCA
159,defense cooperation agreement,2005,2010,United States,general,DCA
190,defense cooperation agreement,1994,2000,Brunei Darusalam,general,DCA
24,defense cooperation agreement,1994,2000,United States,general,DCA
190,defense cooperation agreement,2010,2010,Indonesia,general,DCA
80,defense cooperation agreement,2010,2010,United States,general,DCA
190,defense cooperation agreement,1994,2010,Australia,sector,RESEARCH
8,defense cooperation agreement,1994,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1995,2010,Australia,sector,PROCUREMENT
8,defense cooperation agreement,1995,2010,United States,sector,PROCUREMENT
190,defense cooperation agreement,1995,2010,Australia,general,DCA
8,defense cooperation agreement,1995,2010,United States,general,DCA
190,defense cooperation agreement,2007,2010,Australia,sector,PROCUREMENT
8,defense cooperation agreement,2007,2010,United States,sector,PROCUREMENT
190,defense cooperation agreement,1996,2010,New Zealand,general,DCA
127,defense cooperation agreement,1996,2010,United States,general,DCA
190,defense cooperation agreement,2010,2010,New Zealand,sector,RESEARCH
127,defense cooperation agreement,2010,2010,United States,sector,RESEARCH
30,defense cooperation agreement,1985,1991,Belize,sector,TREX
17,defense cooperation agreement,1985,1991,Canada,sector,TREX
30,defense cooperation agreement,2004,2010,Suriname,sector,TREX
169,defense cooperation agreement,2004,2010,Canada,sector,TREX
30,defense cooperation agreement,2006,2010,United Kingdom,sector,TREX
189,defense cooperation agreement,2006,2010,Canada,sector,TREX
30,defense cooperation agreement,1987,2010,Belgium,general,DIC
16,defense cooperation agreement,1987,2010,Canada,general,DIC
30,defense cooperation agreement,1991,1997,Spain,general,DIC
166,defense cooperation agreement,1991,1997,Canada,general,DIC
30,defense cooperation agreement,1993,1999,Spain,general,DIC
166,defense cooperation agreement,1993,1999,Canada,general,DIC
30,defense cooperation agreement,1994,2010,Poland,general,DCA
142,defense cooperation agreement,1994,2010,Canada,general,DCA
30,defense cooperation agreement,1994,2010,Czech Republic,general,DCA
46,defense cooperation agreement,1994,2010,Canada,general,DCA
30,defense cooperation agreement,1995,2001,Slovakia,general,DCA
160,defense cooperation agreement,1995,2001,Canada,general,DCA
30,defense cooperation agreement,2005,2010,Albania,sector,TREX
1,defense cooperation agreement,2005,2010,Canada,sector,TREX
30,defense cooperation agreement,2005,2010,Bosnia & Herzegovina,sector,TREX
21,defense cooperation agreement,2005,2010,Canada,sector,TREX
30,defense cooperation agreement,1999,2005,Bulgaria,general,DCA
25,defense cooperation agreement,1999,2005,Canada,general,DCA
30,defense cooperation agreement,1993,2010,Romania,general,DCA
146,defense cooperation agreement,1993,2010,Canada,general,DCA
30,defense cooperation agreement,1993,2010,Romania,sector,COMMISSION
146,defense cooperation agreement,1993,2010,Canada,sector,COMMISSION
30,defense cooperation agreement,1999,2005,Romania,general,DIC
146,defense cooperation agreement,1999,2005,Canada,general,DIC
30,defense cooperation agreement,1992,2010,Russia,general,DCA
147,defense cooperation agreement,1992,2010,Canada,general,DCA
30,defense cooperation agreement,1997,2003,Estonia,general,DCA
57,defense cooperation agreement,1997,2003,Canada,general,DCA
30,defense cooperation agreement,2009,2010,Latvia,general,DCA
96,defense cooperation agreement,2009,2010,Canada,general,DCA
30,defense cooperation agreement,1994,2010,Ukraine,sector,COMMISSION
187,defense cooperation agreement,1994,2010,Canada,sector,COMMISSION
30,defense cooperation agreement,1994,2010,Ukraine,general,DCA
187,defense cooperation agreement,1994,2010,Canada,general,DCA
30,defense cooperation agreement,2004,2010,Sweden,general,DIC
171,defense cooperation agreement,2004,2010,Canada,general,DIC
30,defense cooperation agreement,1998,2004,South Africa,general,DIC
164,defense cooperation agreement,1998,2004,Canada,general,DIC
30,defense cooperation agreement,1996,2002,South Korea,general,DIC
145,defense cooperation agreement,1996,2002,Canada,general,DIC
30,defense cooperation agreement,1999,2005,Japan,sector,COMMISSION
87,defense cooperation agreement,1999,2005,Canada,sector,COMMISSION
30,defense cooperation agreement,2010,2010,Japan,sector,COMMISSION
87,defense cooperation agreement,2010,2010,Canada,sector,COMMISSION
30,defense cooperation agreement,2008,2010,Philippines,sector,TREX
141,defense cooperation agreement,2008,2010,Canada,sector,TREX
44,defense cooperation agreement,1995,2001,Spain,general,DCA
166,defense cooperation agreement,1995,2001,Cuba,general,DCA
44,defense cooperation agreement,1997,2003,Russia,general,DCA
147,defense cooperation agreement,1997,2003,Cuba,general,DCA
44,defense cooperation agreement,2000,2006,Russia,sector,PROCUREMENT
147,defense cooperation agreement,2000,2006,Cuba,sector,PROCUREMENT
44,defense cooperation agreement,2006,2010,Russia,sector,PROCUREMENT
147,defense cooperation agreement,2006,2010,Cuba,sector,PROCUREMENT
44,defense cooperation agreement,2002,2008,Angola,sector,TREX
4,defense cooperation agreement,2002,2008,Cuba,sector,TREX
44,defense cooperation agreement,2000,2006,China,general,DCA
35,defense cooperation agreement,2000,2006,Cuba,general,DCA
50,defense cooperation agreement,2010,2010,Brazil,general,DCA
23,defense cooperation agreement,2010,2010,Dominican Republic,general,DCA
69,defense cooperation agreement,2006,2010,Brazil,general,DCA
23,defense cooperation agreement,2006,2010,Guatemala,general,DCA
69,defense cooperation agreement,2003,2010,Chile,general,DCA
34,defense cooperation agreement,2003,2010,Guatemala,general,DCA
69,defense cooperation agreement,2006,2010,Spain,general,DCA
166,defense cooperation agreement,2006,2010,Guatemala,general,DCA
75,defense cooperation agreement,2007,2010,Brazil,general,DCA
23,defense cooperation agreement,2007,2010,Honduras,general,DCA
75,defense cooperation agreement,2006,2010,Argentina,general,DCA
6,defense cooperation agreement,2006,2010,Honduras,general,DCA
75,defense cooperation agreement,2006,2010,Spain,general,DCA
166,defense cooperation agreement,2006,2010,Honduras,general,DCA
54,defense cooperation agreement,2008,2010,Peru,general,DCA
140,defense cooperation agreement,2008,2010,El Salvador,general,DCA
54,defense cooperation agreement,2007,2010,Brazil,general,DCA
23,defense cooperation agreement,2007,2010,El Salvador,general,DCA
54,defense cooperation agreement,2009,2010,Argentina,general,DCA
6,defense cooperation agreement,2009,2010,El Salvador,general,DCA
54,defense cooperation agreement,2006,2010,Spain,general,DCA
166,defense cooperation agreement,2006,2010,El Salvador,general,DCA
128,defense cooperation agreement,2006,2010,Spain,general,DCA
166,defense cooperation agreement,2006,2010,Nicaragua,general,DCA
128,defense cooperation agreement,2001,2010,Russia,sector,PROCUREMENT
147,defense cooperation agreement,2001,2010,Nicaragua,sector,PROCUREMENT
137,defense cooperation agreement,2010,2010,Italy,general,DIC
85,defense cooperation agreement,2010,2010,Panama,general,DIC
36,defense cooperation agreement,2003,2010,Brazil,general,DCA
23,defense cooperation agreement,2003,2010,Colombia,general,DCA
36,defense cooperation agreement,2008,2010,Brazil,general,DCA
23,defense cooperation agreement,2008,2010,Colombia,general,DCA
36,defense cooperation agreement,1996,2010,France,general,DIC
61,defense cooperation agreement,1996,2010,Colombia,general,DIC
36,defense cooperation agreement,2006,2010,Czech Republic,general,DIC
46,defense cooperation agreement,2006,2010,Colombia,general,DIC
36,defense cooperation agreement,1996,2010,Russia,general,DIC
147,defense cooperation agreement,1996,2010,Colombia,general,DIC
194,defense cooperation agreement,2009,2010,Ecuador,general,DCA
52,defense cooperation agreement,2009,2010,Venezuela,general,DCA
194,defense cooperation agreement,2008,2010,Bolivia,general,DCA
20,defense cooperation agreement,2008,2010,Venezuela,general,DCA
194,defense cooperation agreement,2004,2010,Argentina,general,DIC
6,defense cooperation agreement,2004,2010,Venezuela,general,DIC
194,defense cooperation agreement,2005,2010,Spain,general,DIC
166,defense cooperation agreement,2005,2010,Venezuela,general,DIC
194,defense cooperation agreement,2001,2010,Russia,general,DIC
147,defense cooperation agreement,2001,2010,Venezuela,general,DIC
194,defense cooperation agreement,2009,2010,Russia,general,DCA
147,defense cooperation agreement,2009,2010,Venezuela,general,DCA
194,defense cooperation agreement,2006,2010,Belarus,sector,PROCUREMENT
15,defense cooperation agreement,2006,2010,Venezuela,sector,PROCUREMENT
194,defense cooperation agreement,2007,2010,Belarus,general,DCA
15,defense cooperation agreement,2007,2010,Venezuela,general,DCA
194,defense cooperation agreement,2009,2010,Iran,sector,COMMISSION
81,defense cooperation agreement,2009,2010,Venezuela,sector,COMMISSION
194,defense cooperation agreement,1999,2005,South Korea,general,DIC
145,defense cooperation agreement,1999,2005,Venezuela,general,DIC
72,defense cooperation agreement,2009,2010,Brazil,general,DCA
23,defense cooperation agreement,2009,2010,Guyana,general,DCA
169,defense cooperation agreement,2008,2010,Brazil,general,DCA
23,defense cooperation agreement,2008,2010,Suriname,general,DCA
52,defense cooperation agreement,2007,2010,Brazil,general,DCA
23,defense cooperation agreement,2007,2010,Ecuador,general,DCA
52,defense cooperation agreement,1999,2005,Chile,general,DCA
34,defense cooperation agreement,1999,2005,Ecuador,general,DCA
52,defense cooperation agreement,2010,2010,Chile,general,DIC
34,defense cooperation agreement,2010,2010,Ecuador,general,DIC
52,defense cooperation agreement,2007,2010,Argentina,general,DCA
6,defense cooperation agreement,2007,2010,Ecuador,general,DCA
52,defense cooperation agreement,2010,2010,Uruguay,general,DCA
191,defense cooperation agreement,2010,2010,Ecuador,general,DCA
52,defense cooperation agreement,2005,2010,Spain,sector,COMMISSION
166,defense cooperation agreement,2005,2010,Ecuador,sector,COMMISSION
52,defense cooperation agreement,2008,2010,Spain,general,DCA
166,defense cooperation agreement,2008,2010,Ecuador,general,DCA
52,defense cooperation agreement,2008,2010,Russia,sector,PROCUREMENT
147,defense cooperation agreement,2008,2010,Ecuador,sector,PROCUREMENT
140,defense cooperation agreement,2006,2010,Brazil,general,DCA
23,defense cooperation agreement,2006,2010,Peru,general,DCA
140,defense cooperation agreement,2006,2010,Brazil,sector,COMMISSION
23,defense cooperation agreement,2006,2010,Peru,sector,COMMISSION
140,defense cooperation agreement,2001,2010,Chile,sector,COMMISSION
34,defense cooperation agreement,2001,2010,Peru,sector,COMMISSION
140,defense cooperation agreement,2006,2010,Argentina,sector,COMMISSION
6,defense cooperation agreement,2006,2010,Peru,sector,COMMISSION
140,defense cooperation agreement,2008,2010,Argentina,sector,RESEARCH
6,defense cooperation agreement,2008,2010,Peru,sector,RESEARCH
140,defense cooperation agreement,2003,2010,France,sector,PROCUREMENT
61,defense cooperation agreement,2003,2010,Peru,sector,PROCUREMENT
140,defense cooperation agreement,2006,2010,Spain,general,DCA
166,defense cooperation agreement,2006,2010,Peru,general,DCA
140,defense cooperation agreement,2010,2010,Spain,general,DIC
166,defense cooperation agreement,2010,2010,Peru,general,DIC
140,defense cooperation agreement,2008,2010,Poland,general,DCA
142,defense cooperation agreement,2008,2010,Peru,general,DCA
140,defense cooperation agreement,2002,2010,Italy,general,DIC
