ID,eventName,startYear,endYear,signWithCountry,type,category
189,signing defense cooperation agreement,2004,2004,United States,general,DIC
190,signing defense cooperation agreement,1998,1998,Netherlands,sector,RESEARCH
126,signing defense cooperation agreement,1998,1998,United States,sector,RESEARCH
190,signing defense cooperation agreement,2010,2010,Luxembourg,general,DIC
103,signing defense cooperation agreement,2010,2010,United States,general,DIC
190,signing defense cooperation agreement,1994,1994,France,sector,RESEARCH
61,signing defense cooperation agreement,1994,1994,United States,sector,RESEARCH
190,signing defense cooperation agreement,1988,1988,Switzerland,general,DIC
172,signing defense cooperation agreement,1988,1988,United States,general,DIC
190,signing defense cooperation agreement,2007,2007,Switzerland,general,DIC
172,signing defense cooperation agreement,2007,2007,United States,general,DIC
190,signing defense cooperation agreement,1980,1980,Spain,sector,RESEARCH
166,signing defense cooperation agreement,1980,1980,United States,sector,RESEARCH
190,signing defense cooperation agreement,1982,1982,Spain,general,DIC
166,signing defense cooperation agreement,1982,1982,United States,general,DIC
190,signing defense cooperation agreement,1988,1988,Spain,general,DCA
166,signing defense cooperation agreement,1988,1988,United States,general,DCA
190,signing defense cooperation agreement,2002,2002,Spain,general,DIC
166,signing defense cooperation agreement,2002,2002,United States,general,DIC
190,signing defense cooperation agreement,2002,2002,Spain,general,DCA
166,signing defense cooperation agreement,2002,2002,United States,general,DCA
190,signing defense cooperation agreement,1995,1995,Portugal,general,DCA
143,signing defense cooperation agreement,1995,1995,United States,general,DCA
190,signing defense cooperation agreement,1995,1995,Germany,sector,RESEARCH
65,signing defense cooperation agreement,1995,1995,United States,sector,RESEARCH
190,signing defense cooperation agreement,2009,2009,Germany,sector,RESEARCH
65,signing defense cooperation agreement,2009,2009,United States,sector,RESEARCH
190,signing defense cooperation agreement,1995,1995,Poland,sector,RESEARCH
142,signing defense cooperation agreement,1995,1995,United States,sector,RESEARCH
190,signing defense cooperation agreement,1991,1991,Austria,sector,PROCUREMENT
9,signing defense cooperation agreement,1991,1991,United States,sector,PROCUREMENT
190,signing defense cooperation agreement,1995,1995,Hungary,sector,RESEARCH
77,signing defense cooperation agreement,1995,1995,United States,sector,RESEARCH
190,signing defense cooperation agreement,1996,1996,Czech Republic,sector,RESEARCH
46,signing defense cooperation agreement,1996,1996,United States,sector,RESEARCH
190,signing defense cooperation agreement,2008,2008,Czech Republic,sector,RESEARCH
46,signing defense cooperation agreement,2008,2008,United States,sector,RESEARCH
190,signing defense cooperation agreement,2009,2009,Czech Republic,sector,TREX
46,signing defense cooperation agreement,2009,2009,United States,sector,TREX
190,signing defense cooperation agreement,1994,1994,Slovakia,sector,COMMISSION
160,signing defense cooperation agreement,1994,1994,United States,sector,COMMISSION
190,signing defense cooperation agreement,1995,1995,Slovakia,sector,PROCUREMENT
160,signing defense cooperation agreement,1995,1995,United States,sector,PROCUREMENT
190,signing defense cooperation agreement,2006,2006,Italy,sector,RESEARCH
85,signing defense cooperation agreement,2006,2006,United States,sector,RESEARCH
190,signing defense cooperation agreement,2008,2008,Italy,general,DIC
85,signing defense cooperation agreement,2008,2008,United States,general,DIC
190,signing defense cooperation agreement,1993,1993,Albania,general,DCA
1,signing defense cooperation agreement,1993,1993,United States,general,DCA
190,signing defense cooperation agreement,2003,2003,Albania,general,DCA
1,signing defense cooperation agreement,2003,2003,United States,general,DCA
190,signing defense cooperation agreement,2004,2004,Macedonia,general,DCA
104,signing defense cooperation agreement,2004,2004,United States,general,DCA
190,signing defense cooperation agreement,1994,1994,Croatia,general,DCA
43,signing defense cooperation agreement,1994,1994,United States,general,DCA
190,signing defense cooperation agreement,1995,1995,Croatia,sector,TREX
43,signing defense cooperation agreement,1995,1995,United States,sector,TREX
190,signing defense cooperation agreement,2003,2003,Croatia,general,DCA
43,signing defense cooperation agreement,2003,2003,United States,general,DCA
190,signing defense cooperation agreement,2006,2006,Yugoslavia,general,DCA
206,signing defense cooperation agreement,2006,2006,United States,general,DCA
190,signing defense cooperation agreement,2005,2005,Bosnia & Herzegovina,general,DCA
21,signing defense cooperation agreement,2005,2005,United States,general,DCA
190,signing defense cooperation agreement,2008,2008,Bosnia & Herzegovina,sector,TREX
21,signing defense cooperation agreement,2008,2008,United States,sector,TREX
190,signing defense cooperation agreement,1995,1995,Slovenia,general,DCA
161,signing defense cooperation agreement,1995,1995,United States,general,DCA
190,signing defense cooperation agreement,1999,1999,Slovenia,general,DCA
161,signing defense cooperation agreement,1999,1999,United States,general,DCA
190,signing defense cooperation agreement,1983,1983,Greece,general,DCA
67,signing defense cooperation agreement,1983,1983,United States,general,DCA
190,signing defense cooperation agreement,1986,1986,Greece,general,DIC
67,signing defense cooperation agreement,1986,1986,United States,general,DIC
190,signing defense cooperation agreement,1990,1990,Greece,general,DCA
67,signing defense cooperation agreement,1990,1990,United States,general,DCA
190,signing defense cooperation agreement,1994,1994,Bulgaria,general,DCA
25,signing defense cooperation agreement,1994,1994,United States,general,DCA
190,signing defense cooperation agreement,2006,2006,Bulgaria,general,DCA
25,signing defense cooperation agreement,2006,2006,United States,general,DCA
190,signing defense cooperation agreement,1995,1995,Moldova,general,DCA
116,signing defense cooperation agreement,1995,1995,United States,general,DCA
190,signing defense cooperation agreement,1997,1997,Moldova,general,DCA
116,signing defense cooperation agreement,1997,1997,United States,general,DCA
190,signing defense cooperation agreement,1998,1998,Romania,general,DCA
146,signing defense cooperation agreement,1998,1998,United States,general,DCA
190,signing defense cooperation agreement,2002,2002,Estonia,general,DCA
57,signing defense cooperation agreement,2002,2002,United States,general,DCA
190,signing defense cooperation agreement,1995,1995,Latvia,general,DCA
96,signing defense cooperation agreement,1995,1995,United States,general,DCA
190,signing defense cooperation agreement,1994,1994,Lithuania,general,DCA
102,signing defense cooperation agreement,1994,1994,United States,general,DCA
190,signing defense cooperation agreement,1997,1997,Lithuania,sector,RESEARCH
102,signing defense cooperation agreement,1997,1997,United States,sector,RESEARCH
190,signing defense cooperation agreement,2009,2009,Lithuania,general,DCA
102,signing defense cooperation agreement,2009,2009,United States,general,DCA
190,signing defense cooperation agreement,1993,1993,Ukraine,general,DCA
187,signing defense cooperation agreement,1993,1993,United States,general,DCA
190,signing defense cooperation agreement,2000,2000,Ukraine,sector,RESEARCH
187,signing defense cooperation agreement,2000,2000,United States,sector,RESEARCH
190,signing defense cooperation agreement,1993,1993,Belarus,sector,COMMISSION
15,signing defense cooperation agreement,1993,1993,United States,sector,COMMISSION
190,signing defense cooperation agreement,2001,2001,Armenia,general,DCA
7,signing defense cooperation agreement,2001,2001,United States,general,DCA
190,signing defense cooperation agreement,2002,2002,Armenia,general,DCA
7,signing defense cooperation agreement,2002,2002,United States,general,DCA
190,signing defense cooperation agreement,2003,2003,Armenia,general,DCA
7,signing defense cooperation agreement,2003,2003,United States,general,DCA
190,signing defense cooperation agreement,1997,1997,Georgia,general,DCA
64,signing defense cooperation agreement,1997,1997,United States,general,DCA
190,signing defense cooperation agreement,1998,1998,Georgia,general,DCA
64,signing defense cooperation agreement,1998,1998,United States,general,DCA
190,signing defense cooperation agreement,2002,2002,Georgia,general,DCA
64,signing defense cooperation agreement,2002,2002,United States,general,DCA
190,signing defense cooperation agreement,2005,2005,Georgia,sector,TREX
64,signing defense cooperation agreement,2005,2005,United States,sector,TREX
190,signing defense cooperation agreement,1999,1999,Azerbaijan,general,DCA
10,signing defense cooperation agreement,1999,1999,United States,general,DCA
190,signing defense cooperation agreement,2000,2000,Azerbaijan,general,DCA
10,signing defense cooperation agreement,2000,2000,United States,general,DCA
190,signing defense cooperation agreement,2000,2000,Azerbaijan,sector,TREX
10,signing defense cooperation agreement,2000,2000,United States,sector,TREX
190,signing defense cooperation agreement,2002,2002,Azerbaijan,general,DCA
10,signing defense cooperation agreement,2002,2002,United States,general,DCA
190,signing defense cooperation agreement,1991,1991,Finland,general,DIC
60,signing defense cooperation agreement,1991,1991,United States,general,DIC
190,signing defense cooperation agreement,1995,1995,Finland,sector,RESEARCH
60,signing defense cooperation agreement,1995,1995,United States,sector,RESEARCH
190,signing defense cooperation agreement,2005,2005,Finland,general,DCA
60,signing defense cooperation agreement,2005,2005,United States,general,DCA
190,signing defense cooperation agreement,2008,2008,Finland,general,DIC
60,signing defense cooperation agreement,2008,2008,United States,general,DIC
190,signing defense cooperation agreement,1987,1987,Sweden,general,DIC
171,signing defense cooperation agreement,1987,1987,United States,general,DIC
190,signing defense cooperation agreement,1997,1997,Sweden,sector,RESEARCH
171,signing defense cooperation agreement,1997,1997,United States,sector,RESEARCH
190,signing defense cooperation agreement,1997,1997,Sweden,sector,RESEARCH
171,signing defense cooperation agreement,1997,1997,United States,sector,RESEARCH
190,signing defense cooperation agreement,1999,1999,Sweden,sector,TREX
171,signing defense cooperation agreement,1999,1999,United States,sector,TREX
190,signing defense cooperation agreement,1980,1980,Denmark,general,DIC
47,signing defense cooperation agreement,1980,1980,United States,general,DIC
190,signing defense cooperation agreement,1996,1996,Benin,sector,COMMISSION
18,signing defense cooperation agreement,1996,1996,United States,sector,COMMISSION
190,signing defense cooperation agreement,2006,2006,Gabon,sector,TREX
62,signing defense cooperation agreement,2006,2006,United States,sector,TREX
190,signing defense cooperation agreement,2004,2004,Rwanda,sector,TREX
148,signing defense cooperation agreement,2004,2004,United States,sector,TREX
190,signing defense cooperation agreement,1992,1992,Zambia,sector,TREX
197,signing defense cooperation agreement,1992,1992,United States,sector,TREX
190,signing defense cooperation agreement,2001,2001,South Africa,sector,RESEARCH
164,signing defense cooperation agreement,2001,2001,United States,sector,RESEARCH
190,signing defense cooperation agreement,1982,1982,Morocco,sector,COMMISSION
120,signing defense cooperation agreement,1982,1982,United States,sector,COMMISSION
190,signing defense cooperation agreement,2010,2010,Algeria,general,DCA
2,signing defense cooperation agreement,2010,2010,United States,general,DCA
190,signing defense cooperation agreement,1980,1980,Turkey,general,DIC
183,signing defense cooperation agreement,1980,1980,United States,general,DIC
190,signing defense cooperation agreement,1980,1980,Turkey,general,DCA
183,signing defense cooperation agreement,1980,1980,United States,general,DCA
190,signing defense cooperation agreement,1981,1981,Turkey,sector,COMMISSION
183,signing defense cooperation agreement,1981,1981,United States,sector,COMMISSION
190,signing defense cooperation agreement,1982,1982,Turkey,general,DCA
183,signing defense cooperation agreement,1982,1982,United States,general,DCA
190,signing defense cooperation agreement,1988,1988,Egypt,general,DIC
53,signing defense cooperation agreement,1988,1988,United States,general,DIC
190,signing defense cooperation agreement,1998,1998,Syria,sector,RESEARCH
173,signing defense cooperation agreement,1998,1998,United States,sector,RESEARCH
190,signing defense cooperation agreement,1987,1987,Israel,general,DIC
84,signing defense cooperation agreement,1987,1987,United States,general,DIC
190,signing defense cooperation agreement,1988,1988,Israel,sector,COMMISSION
84,signing defense cooperation agreement,1988,1988,United States,sector,COMMISSION
190,signing defense cooperation agreement,1989,1989,Israel,sector,RESEARCH
84,signing defense cooperation agreement,1989,1989,United States,sector,RESEARCH
190,signing defense cooperation agreement,1996,1996,Israel,sector,RESEARCH
84,signing defense cooperation agreement,1996,1996,United States,sector,RESEARCH
190,signing defense cooperation agreement,1998,1998,Israel,general,DCA
84,signing defense cooperation agreement,1998,1998,United States,general,DCA
190,signing defense cooperation agreement,1982,1982,Saudi Arabia,sector,COMMISSION
154,signing defense cooperation agreement,1982,1982,United States,sector,COMMISSION
190,signing defense cooperation agreement,1999,1999,Saudi Arabia,sector,TREX
154,signing defense cooperation agreement,1999,1999,United States,sector,TREX
190,signing defense cooperation agreement,2009,2009,Yemen,sector,TREX
196,signing defense cooperation agreement,2009,2009,United States,sector,TREX
190,signing defense cooperation agreement,1991,1991,Kuwait,general,DCA
93,signing defense cooperation agreement,1991,1991,United States,general,DCA
190,signing defense cooperation agreement,1991,1991,Bahrain,general,DCA
12,signing defense cooperation agreement,1991,1991,United States,general,DCA
190,signing defense cooperation agreement,1992,1992,Qatar,general,DCA
144,signing defense cooperation agreement,1992,1992,United States,general,DCA
190,signing defense cooperation agreement,1994,1994,United Arab Emirates,general,DCA
188,signing defense cooperation agreement,1994,1994,United States,general,DCA
190,signing defense cooperation agreement,1998,1998,Uzbekistan,general,DCA
192,signing defense cooperation agreement,1998,1998,United States,general,DCA
190,signing defense cooperation agreement,2000,2000,Uzbekistan,general,DCA
192,signing defense cooperation agreement,2000,2000,United States,general,DCA
190,signing defense cooperation agreement,2001,2001,Uzbekistan,general,DCA
192,signing defense cooperation agreement,2001,2001,United States,general,DCA
190,signing defense cooperation agreement,2009,2009,Uzbekistan,sector,TREX
192,signing defense cooperation agreement,2009,2009,United States,sector,TREX
190,signing defense cooperation agreement,1996,1996,Kazakhstan,sector,COMMISSION
89,signing defense cooperation agreement,1996,1996,United States,sector,COMMISSION
190,signing defense cooperation agreement,1997,1997,Kazakhstan,general,DCA
89,signing defense cooperation agreement,1997,1997,United States,general,DCA
190,signing defense cooperation agreement,2002,2002,Kazakhstan,sector,TREX
89,signing defense cooperation agreement,2002,2002,United States,sector,TREX
190,signing defense cooperation agreement,1996,1996,Mongolia,sector,TREX
118,signing defense cooperation agreement,1996,1996,United States,sector,TREX
190,signing defense cooperation agreement,1988,1988,South Korea,general,DIC
145,signing defense cooperation agreement,1988,1988,United States,general,DIC
190,signing defense cooperation agreement,1991,1991,South Korea,sector,COMMISSION
145,signing defense cooperation agreement,1991,1991,United States,sector,COMMISSION
190,signing defense cooperation agreement,1996,1996,South Korea,sector,RESEARCH
145,signing defense cooperation agreement,1996,1996,United States,sector,RESEARCH
190,signing defense cooperation agreement,2009,2009,South Korea,sector,RESEARCH
145,signing defense cooperation agreement,2009,2009,United States,sector,RESEARCH
190,signing defense cooperation agreement,1983,1983,Japan,general,DIC
87,signing defense cooperation agreement,1983,1983,United States,general,DIC
190,signing defense cooperation agreement,1990,1990,Japan,sector,RESEARCH
87,signing defense cooperation agreement,1990,1990,United States,sector,RESEARCH
190,signing defense cooperation agreement,1991,1991,India,sector,TREX
79,signing defense cooperation agreement,1991,1991,United States,sector,TREX
190,signing defense cooperation agreement,1995,1995,India,general,DIC
79,signing defense cooperation agreement,1995,1995,United States,general,DIC
190,signing defense cooperation agreement,2004,2004,India,sector,RESEARCH
79,signing defense cooperation agreement,2004,2004,United States,sector,RESEARCH
190,signing defense cooperation agreement,2005,2005,India,general,DIC
79,signing defense cooperation agreement,2005,2005,United States,general,DIC
190,signing defense cooperation agreement,2006,2006,India,sector,RESEARCH
79,signing defense cooperation agreement,2006,2006,United States,sector,RESEARCH
190,signing defense cooperation agreement,1995,1995,Pakistan,sector,COMMISSION
134,signing defense cooperation agreement,1995,1995,United States,sector,COMMISSION
190,signing defense cooperation agreement,1989,1989,Bangladesh,sector,TREX
13,signing defense cooperation agreement,1989,1989,United States,sector,TREX
190,signing defense cooperation agreement,1995,1995,Singapore,sector,RESEARCH
159,signing defense cooperation agreement,1995,1995,United States,sector,RESEARCH
190,signing defense cooperation agreement,1998,1998,Singapore,sector,RESEARCH
159,signing defense cooperation agreement,1998,1998,United States,sector,RESEARCH
190,signing defense cooperation agreement,2003,2003,Singapore,sector,RESEARCH
159,signing defense cooperation agreement,2003,2003,United States,sector,RESEARCH
190,signing defense cooperation agreement,2005,2005,Singapore,general,DCA
159,signing defense cooperation agreement,2005,2005,United States,general,DCA
190,signing defense cooperation agreement,1994,1994,Brunei Darusalam,general,DCA
24,signing defense cooperation agreement,1994,1994,United States,general,DCA
190,signing defense cooperation agreement,2010,2010,Indonesia,general,DCA
80,signing defense cooperation agreement,2010,2010,United States,general,DCA
190,signing defense cooperation agreement,1994,1994,Australia,sector,RESEARCH
8,signing defense cooperation agreement,1994,1994,United States,sector,RESEARCH
190,signing defense cooperation agreement,1995,1995,Australia,sector,PROCUREMENT
8,signing defense cooperation agreement,1995,1995,United States,sector,PROCUREMENT
190,signing defense cooperation agreement,1995,1995,Australia,general,DCA
8,signing defense cooperation agreement,1995,1995,United States,general,DCA
190,signing defense cooperation agreement,2007,2007,Australia,sector,PROCUREMENT
8,signing defense cooperation agreement,2007,2007,United States,sector,PROCUREMENT
190,signing defense cooperation agreement,1996,1996,New Zealand,general,DCA
127,signing defense cooperation agreement,1996,1996,United States,general,DCA
190,signing defense cooperation agreement,2010,2010,New Zealand,sector,RESEARCH
127,signing defense cooperation agreement,2010,2010,United States,sector,RESEARCH
30,signing defense cooperation agreement,1985,1985,Belize,sector,TREX
17,signing defense cooperation agreement,1985,1985,Canada,sector,TREX
30,signing defense cooperation agreement,2004,2004,Suriname,sector,TREX
169,signing defense cooperation agreement,2004,2004,Canada,sector,TREX
30,signing defense cooperation agreement,2006,2006,United Kingdom,sector,TREX
189,signing defense cooperation agreement,2006,2006,Canada,sector,TREX
30,signing defense cooperation agreement,1987,1987,Belgium,general,DIC
16,signing defense cooperation agreement,1987,1987,Canada,general,DIC
30,signing defense cooperation agreement,1991,1991,Spain,general,DIC
166,signing defense cooperation agreement,1991,1991,Canada,general,DIC
30,signing defense cooperation agreement,1993,1993,Spain,general,DIC
166,signing defense cooperation agreement,1993,1993,Canada,general,DIC
30,signing defense cooperation agreement,1994,1994,Poland,general,DCA
142,signing defense cooperation agreement,1994,1994,Canada,general,DCA
30,signing defense cooperation agreement,1994,1994,Czech Republic,general,DCA
46,signing defense cooperation agreement,1994,1994,Canada,general,DCA
30,signing defense cooperation agreement,1995,1995,Slovakia,general,DCA
160,signing defense cooperation agreement,1995,1995,Canada,general,DCA
30,signing defense cooperation agreement,2005,2005,Albania,sector,TREX
1,signing defense cooperation agreement,2005,2005,Canada,sector,TREX
30,signing defense cooperation agreement,2005,2005,Bosnia & Herzegovina,sector,TREX
21,signing defense cooperation agreement,2005,2005,Canada,sector,TREX
30,signing defense cooperation agreement,1999,1999,Bulgaria,general,DCA
25,signing defense cooperation agreement,1999,1999,Canada,general,DCA
30,signing defense cooperation agreement,1993,1993,Romania,general,DCA
146,signing defense cooperation agreement,1993,1993,Canada,general,DCA
30,signing defense cooperation agreement,1993,1993,Romania,sector,COMMISSION
146,signing defense cooperation agreement,1993,1993,Canada,sector,COMMISSION
30,signing defense cooperation agreement,1999,1999,Romania,general,DIC
146,signing defense cooperation agreement,1999,1999,Canada,general,DIC
30,signing defense cooperation agreement,1992,1992,Russia,general,DCA
147,signing defense cooperation agreement,1992,1992,Canada,general,DCA
30,signing defense cooperation agreement,1997,1997,Estonia,general,DCA
57,signing defense cooperation agreement,1997,1997,Canada,general,DCA
30,signing defense cooperation agreement,2009,2009,Latvia,general,DCA
96,signing defense cooperation agreement,2009,2009,Canada,general,DCA
30,signing defense cooperation agreement,1994,1994,Ukraine,sector,COMMISSION
187,signing defense cooperation agreement,1994,1994,Canada,sector,COMMISSION
30,signing defense cooperation agreement,1994,1994,Ukraine,general,DCA
187,signing defense cooperation agreement,1994,1994,Canada,general,DCA
30,signing defense cooperation agreement,2004,2004,Sweden,general,DIC
171,signing defense cooperation agreement,2004,2004,Canada,general,DIC
30,signing defense cooperation agreement,1998,1998,South Africa,general,DIC
164,signing defense cooperation agreement,1998,1998,Canada,general,DIC
30,signing defense cooperation agreement,1996,1996,South Korea,general,DIC
145,signing defense cooperation agreement,1996,1996,Canada,general,DIC
30,signing defense cooperation agreement,1999,1999,Japan,sector,COMMISSION
87,signing defense cooperation agreement,1999,1999,Canada,sector,COMMISSION
30,signing defense cooperation agreement,2010,2010,Japan,sector,COMMISSION
87,signing defense cooperation agreement,2010,2010,Canada,sector,COMMISSION
30,signing defense cooperation agreement,2008,2008,Philippines,sector,TREX
141,signing defense cooperation agreement,2008,2008,Canada,sector,TREX
44,signing defense cooperation agreement,1995,1995,Spain,general,DCA
166,signing defense cooperation agreement,1995,1995,Cuba,general,DCA
44,signing defense cooperation agreement,1997,1997,Russia,general,DCA
147,signing defense cooperation agreement,1997,1997,Cuba,general,DCA
44,signing defense cooperation agreement,2000,2000,Russia,sector,PROCUREMENT
147,signing defense cooperation agreement,2000,2000,Cuba,sector,PROCUREMENT
44,signing defense cooperation agreement,2006,2006,Russia,sector,PROCUREMENT
147,signing defense cooperation agreement,2006,2006,Cuba,sector,PROCUREMENT
44,signing defense cooperation agreement,2002,2002,Angola,sector,TREX
4,signing defense cooperation agreement,2002,2002,Cuba,sector,TREX
44,signing defense cooperation agreement,2000,2000,China,general,DCA
35,signing defense cooperation agreement,2000,2000,Cuba,general,DCA
50,signing defense cooperation agreement,2010,2010,Brazil,general,DCA
23,signing defense cooperation agreement,2010,2010,Dominican Republic,general,DCA
69,signing defense cooperation agreement,2006,2006,Brazil,general,DCA
23,signing defense cooperation agreement,2006,2006,Guatemala,general,DCA
69,signing defense cooperation agreement,2003,2003,Chile,general,DCA
34,signing defense cooperation agreement,2003,2003,Guatemala,general,DCA
69,signing defense cooperation agreement,2006,2006,Spain,general,DCA
166,signing defense cooperation agreement,2006,2006,Guatemala,general,DCA
75,signing defense cooperation agreement,2007,2007,Brazil,general,DCA
23,signing defense cooperation agreement,2007,2007,Honduras,general,DCA
75,signing defense cooperation agreement,2006,2006,Argentina,general,DCA
6,signing defense cooperation agreement,2006,2006,Honduras,general,DCA
75,signing defense cooperation agreement,2006,2006,Spain,general,DCA
166,signing defense cooperation agreement,2006,2006,Honduras,general,DCA
54,signing defense cooperation agreement,2008,2008,Peru,general,DCA
140,signing defense cooperation agreement,2008,2008,El Salvador,general,DCA
54,signing defense cooperation agreement,2007,2007,Brazil,general,DCA
23,signing defense cooperation agreement,2007,2007,El Salvador,general,DCA
54,signing defense cooperation agreement,2009,2009,Argentina,general,DCA
6,signing defense cooperation agreement,2009,2009,El Salvador,general,DCA
54,signing defense cooperation agreement,2006,2006,Spain,general,DCA
166,signing defense cooperation agreement,2006,2006,El Salvador,general,DCA
128,signing defense cooperation agreement,2006,2006,Spain,general,DCA
166,signing defense cooperation agreement,2006,2006,Nicaragua,general,DCA
128,signing defense cooperation agreement,2001,2001,Russia,sector,PROCUREMENT
147,signing defense cooperation agreement,2001,2001,Nicaragua,sector,PROCUREMENT
137,signing defense cooperation agreement,2010,2010,Italy,general,DIC
85,signing defense cooperation agreement,2010,2010,Panama,general,DIC
36,signing defense cooperation agreement,2003,2003,Brazil,general,DCA
23,signing defense cooperation agreement,2003,2003,Colombia,general,DCA
36,signing defense cooperation agreement,2008,2008,Brazil,general,DCA
23,signing defense cooperation agreement,2008,2008,Colombia,general,DCA
36,signing defense cooperation agreement,1996,1996,France,general,DIC
61,signing defense cooperation agreement,1996,1996,Colombia,general,DIC
36,signing defense cooperation agreement,2006,2006,Czech Republic,general,DIC
46,signing defense cooperation agreement,2006,2006,Colombia,general,DIC
36,signing defense cooperation agreement,1996,1996,Russia,general,DIC
147,signing defense cooperation agreement,1996,1996,Colombia,general,DIC
194,signing defense cooperation agreement,2009,2009,Ecuador,general,DCA
52,signing defense cooperation agreement,2009,2009,Venezuela,general,DCA
194,signing defense cooperation agreement,2008,2008,Bolivia,general,DCA
20,signing defense cooperation agreement,2008,2008,Venezuela,general,DCA
194,signing defense cooperation agreement,2004,2004,Argentina,general,DIC
6,signing defense cooperation agreement,2004,2004,Venezuela,general,DIC
194,signing defense cooperation agreement,2005,2005,Spain,general,DIC
166,signing defense cooperation agreement,2005,2005,Venezuela,general,DIC
194,signing defense cooperation agreement,2001,2001,Russia,general,DIC
147,signing defense cooperation agreement,2001,2001,Venezuela,general,DIC
194,signing defense cooperation agreement,2009,2009,Russia,general,DCA
147,signing defense cooperation agreement,2009,2009,Venezuela,general,DCA
194,signing defense cooperation agreement,2006,2006,Belarus,sector,PROCUREMENT
15,signing defense cooperation agreement,2006,2006,Venezuela,sector,PROCUREMENT
194,signing defense cooperation agreement,2007,2007,Belarus,general,DCA
15,signing defense cooperation agreement,2007,2007,Venezuela,general,DCA
194,signing defense cooperation agreement,2009,2009,Iran,sector,COMMISSION
81,signing defense cooperation agreement,2009,2009,Venezuela,sector,COMMISSION
194,signing defense cooperation agreement,1999,1999,South Korea,general,DIC
145,signing defense cooperation agreement,1999,1999,Venezuela,general,DIC
72,signing defense cooperation agreement,2009,2009,Brazil,general,DCA
23,signing defense cooperation agreement,2009,2009,Guyana,general,DCA
169,signing defense cooperation agreement,2008,2008,Brazil,general,DCA
23,signing defense cooperation agreement,2008,2008,Suriname,general,DCA
52,signing defense cooperation agreement,2007,2007,Brazil,general,DCA
23,signing defense cooperation agreement,2007,2007,Ecuador,general,DCA
52,signing defense cooperation agreement,1999,1999,Chile,general,DCA
34,signing defense cooperation agreement,1999,1999,Ecuador,general,DCA
52,signing defense cooperation agreement,2010,2010,Chile,general,DIC
34,signing defense cooperation agreement,2010,2010,Ecuador,general,DIC
