ID,eventName,warName,startYear,endYear,initiatorOrTarget,outcome,deaths
21,start of war,Bosnian Independence,1992,1992,target,the war was transformed into another type of war,2850
206,start of war,Bosnian Independence,1992,1992,initiator,the war was transformed into another type of war,1890
10,start of war,Azeri-Armenian,1993,1993,target,lost,8500
7,start of war,Azeri-Armenian,1993,1993,initiator,won,5500
52,start of war,Cenepa Valley,1995,1995,initiator,tied,550
140,start of war,Cenepa Valley,1995,1995,target,tied,950
56,start of war,Badme Border,1998,1998,initiator,stalemate,50000
58,start of war,Badme Border,1998,1998,target,stalemate,70000
183,start of war,War for Kosovo,1999,1999,initiator,won,0
85,start of war,War for Kosovo,1999,1999,initiator,won,0
189,start of war,War for Kosovo,1999,1999,initiator,won,0
190,start of war,War for Kosovo,1999,1999,initiator,won,2
126,start of war,War for Kosovo,1999,1999,initiator,won,0
61,start of war,War for Kosovo,1999,1999,initiator,won,0
206,start of war,War for Kosovo,1999,1999,target,lost,5000
65,start of war,War for Kosovo,1999,1999,initiator,won,0
79,start of war,Kargil War,1999,1999,target,won,474
134,start of war,Kargil War,1999,1999,initiator,lost,698
30,start of war,Invasion of Afghanistan,2001,2001,target,the war was transformed into another type of war,0
61,start of war,Invasion of Afghanistan,2001,2001,target,the war was transformed into another type of war,0
189,start of war,Invasion of Afghanistan,2001,2001,initiator,the war was transformed into another type of war,0
190,start of war,Invasion of Afghanistan,2001,2001,initiator,the war was transformed into another type of war,2
8,start of war,Invasion of Afghanistan,2001,2001,target,the war was transformed into another type of war,0
0,start of war,Invasion of Afghanistan,2001,2001,target,the war was transformed into another type of war,4000
8,start of war,Invasion of Iraq,2003,2003,initiator,the war was transformed into another type of war,0
189,start of war,Invasion of Iraq,2003,2003,initiator,the war was transformed into another type of war,33
190,start of war,Invasion of Iraq,2003,2003,initiator,the war was transformed into another type of war,140
82,start of war,Invasion of Iraq,2003,2003,target,the war was transformed into another type of war,7000
